goodForGroups,city,state,open,alcohol,noiseLevel,attire,priceRange,delivery,waiterService,caters
1,Champaign,IL,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
0,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Matthews,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Peoria,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
0,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Matthews,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Matthews,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Queen Creek,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Madison,WI,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Fountain Hills,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Buckeye,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
0,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Urbana,IL,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
0,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
0,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Edinburgh,EDH,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Gilbert,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Pittsburgh,PA,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Gilbert,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
0,Litchfield Park,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Stallings,NC,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Scottsdale,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Mesa,AZ,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
0,Pittsburgh,PA,FALSE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Pittsburgh,PA,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Edinburgh,EDH,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Casa Grande,AZ,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,FALSE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Gilbert,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
0,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Scottsdale,AZ,FALSE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,North Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Champaign,IL,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,FALSE
1,Montreal,QC,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,FALSE
1,Montral,QC,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,FALSE
0,Montral,QC,TRUE,beer_and_wine,average,casual,1,TRUE,FALSE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Anthem,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Queen Creek,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Las Vegas,NV,FALSE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Madison,WI,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Urbana,IL,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Pittsburgh,PA,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Fitchburg,WI,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Tempe,AZ,FALSE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,1,TRUE,TRUE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Scottsdale,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Montral,QC,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
0,Madison,WI,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Pittsburgh,PA,TRUE,beer_and_wine,average,casual,1,TRUE,TRUE,FALSE
1,Madison,WI,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Goodyear,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Scottsdale,AZ,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Outremont,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Harrisburg,NC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Edinburgh,EDH,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Henderson,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Tempe,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Surprise,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Glendale,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Edinburgh,EDH,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
0,Charlotte,NC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Anthem,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Phoenix,AZ,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
0,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
0,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,TRUE
1,Gilbert,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Edinburgh,EDH,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Chandler,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Montreal,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Henderson,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Mesa,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Casa Grande,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Montreal,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Henderson,NV,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Waterloo,ON,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,North Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
0,Phoenix,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Montreal,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,FALSE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Montral,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Karlsruhe,BW,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Goodyear,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
0,Montral,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Pittsburgh,PA,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Montral,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Henderson,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Maricopa,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Charlotte,NC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
0,Casa Grande,AZ,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Henderson,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Montral,QC,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
1,Las Vegas,NV,TRUE,beer_and_wine,average,casual,2,FALSE,FALSE,FALSE
